"Name","HousingSpace","UnlockTownHallLevel","UpgradeHouseLevel","Speed","Hitpoints","TrainingTime","TrainingCost","UpgradeTimeH","UpgradeCost","MaxAttackRange","AttackRange","AttackRate","ReloadTime","ShotsBeforeReload","LaserDistance","Damage","LifeLeech","AttackSpread","AttackDistanceOffsetPercent","DamageOverFiveSeconds","DamageRadius","FriendlyFire","BoostTimeMs","SpeedBoost","ArmorBoost","DamageBoost","Energy","IsNpc","CanAttackWhileWalking","TurnTowardsTarget","XpGain","TID","InfoTID","SubtitleTID","FlavorTID","SWF","SpeedTID","AttackRangeTID","IconSWF","IconExportName","BigPictureSWF","BigPicture","Projectile","DeployEffect","AttackEffect","AttackEffect2","AttackEffect3","HitEffect","HitEffect2","DisembarkEffect","DieEffect","Animation","AnimationEnemy","MissEffect","Footstep","MoveLoopSound","PatrolRadius","CombatSetupTimeMs","CombatTeardownTimeMs","CombatTeardownDelayMs","Flying","Hero"
,,,18,,210,,3000,86,5300000,,,,,,,404,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,,228,,3200,88,6100000,,,,,,,445,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,,248,,3400,90,6600000,,,,,,,489,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21,,270,,3600,,,,,,,,,538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warrior",3,8,5,320,400,180,800,16,155000,,90,1000,,,,160,40,0,,,,,,,,,0,,,"TRUE",42,"TID_WARRIOR","TID_WARRIOR_INFO","TID_WARRIOR_SUBTITLE","TID_WARRIOR_FLAVOR","sc/units.sc","TID_FAST","TID_MELEE","sc/ui.sc","icon_unit_barbarian","sc/tutorial.sc","unit_pistolunit_big",,"Troop Deploy Assault Troop","Native Attack",,,"Native hammerhit",,"Native Disembark","Demolition Troop Die","Native_Warrior","Native_Warrior BG",,"Warrior step","sfx/assault_unit_move_loop_01.wav",,,,,,
,,,5,,424,,1000,22,294000,,,,,,,169,42,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,6,,449,,1200,30,470000,,,,,,,179,44,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,7,,475,,1400,31,680000,,,,,,,189,46,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,8,,503,,1600,33,800000,,,,,,,200,48,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,9,,533,,1800,37,900000,,,,,,,212,50,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,,564,,2000,44,1230000,,,,,,,224,52,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11,,597,,2200,48,1680000,,,,,,,237,54,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,,633,,2400,51,1900000,,,,,,,251,56,,,,,,,,,,,,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,670,,2600,64,2280000,,,,,,,266,58,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,710,,2800,68,3140000,,,,,,,281,60,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,,751,,3000,70,3600000,,,,,,,297,62,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,,796,,3200,76,4000000,,,,,,,315,64,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,,843,,3400,79,4500000,,,,,,,333,66,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,,892,,3600,82,4800000,,,,,,,352,68,,,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,,945,,3800,86,5600000,,,,,,,373,70,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,,1001,,4000,88,6400000,,,,,,,394,72,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,,1060,,4200,90,7000000,,,,,,,417,74,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21,,1123,,4400,92,7500000,,,,,,,441,76,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,22,,1189,,4600,,,,,,,,,467,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tank",8,11,9,150,2000,1440,8000,42,620000,,820,3500,,,,140,,,,,,,,,,,2,,"TRUE","FALSE",68,"TID_TANK","TID_TANK_INFO","TID_TANK_SUBTITLE","TID_TANK_FLAVOR","sc/units.sc","TID_SLOW","TID_LONG","sc/ui.sc","icon_unit_armored","sc/tutorial.sc","unit_armoredunit_big","Tank Shell","Troop Deploy Assault Troop","Tank Attack",,,"Tank Hit",,,"Tank Die","Armored_troop","Tank BG",,"Tank step","sfx/tank_drive_loop_01.wav",,,,,,
,,,9,,2156,,9000,47,1030000,,,,,,,153,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,10,,2320,,10000,54,1890000,,,,,,,166,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11,,2510,,11000,60,2480000,,,,,,,181,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,,2700,,12000,64,2570000,,,,,,,198,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,,2910,,13000,80,3900000,,,,,,,215,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,,3140,,14000,83,5000000,,,,,,,235,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,,3380,,15000,86,5200000,,,,,,,256,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,,3650,,16000,88,5400000,,,,,,,279,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,,3930,,17000,99,6300000,,,,,,,304,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,,4240,,18000,102,7300000,,,,,,,331,,,,,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,,4570,,19000,105,7400000,,,,,,,361,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,,4930,,20000,108,7500000,,,,,,,394,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,,5310,,21000,111,7600000,,,,,,,429,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,,5720,,22000,113,7700000,,,,,,,468,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21,,6170,,23000,115,7900000,,,,,,,510,,,,,,,,,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,22,,6650,,24000,,,,,,,,,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AI Units",1,1,1,300,24,60,0,1,1100,,470,800,,,,50,,0,,,,,,,,,0,"TRUE",,"TRUE",,"TID_UNUSED","TID_UNUSED","TID_UNUSED","TID_UNUSED","sc/units.sc","TID_FAST","TID_MELEE","sc/ui.sc","icon_unit_barbarian","sc/tutorial.sc","unit_pistolunit_big","Machine Gun Ammo","Troop Deploy Assault Troop","Assault Troop Attack",,,"Assault Troop Hit",,,"Assault Troop Die","Assault Troop BG","Assault Troop BG",,"Rifleman step","sfx/assault_unit_move_loop_01.wav",,,,,,
"Healer",5,15,14,270,500,600,5000,70,1680000,800,400,600,,,,-20,,0,,,200,,,,,,0,,"TRUE","TRUE",83,"TID_MEDIC","TID_MEDIC_INFO","TID_MEDIC_SUBTITLE","TID_MEDIC_FLAVOR","sc/units.sc","TID_MODERATE","TID_SHORT","sc/ui.sc","icon_unit_healer","sc/tutorial.sc","unit_medic_big","HealerAmmo","Troop Deploy Assault Troop",,,,"Healer_area",,"Medic Disembark","Healer Unit Die","Healer","Healer_BG",,"Healer step","sfx/medic_move_loop_01.wav",,,,,,
,,,14,,544,,5500,73,2740000,,,,,,,-21,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,,592,,6000,75,3300000,,,,,,,-22,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,,644,,6500,77,3400000,,,,,,,-23,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,,701,,7000,87,3800000,,,,,,,-24,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,,762,,7500,89,4500000,,,,,,,-25,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,,829,,8000,90,4800000,,,,,,,-26,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,,902,,9000,95,5300000,,,,,,,-27,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,,982,,10000,96,6100000,,,,,,,-28,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,,1068,,11000,97,6400000,,,,,,,-29,,,,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,,1162,,12000,98,6600000,,,,,,,-30,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21,,1264,,13000,100,7100000,,,,,,,-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,22,,1376,,14000,,,,,,,,,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grenadier",6,16,16,250,450,900,8000,88,4000000,,1130,2000,,,,100,,200,33,,190,"TRUE",,,,,0,,,"TRUE",93,"TID_GRENADIER","TID_GRENADIER_INFO","TID_GRENADIER_SUBTITLE","TID_GRENADIER_FLAVOR","sc/units.sc","TID_MODERATE","TID_VERY_LONG","sc/ui.sc","icon_unit_grenadier","sc/tutorial.sc","unit_grenadier_big","Grenadier Ammo","Troop Deploy Assault Troop","Grenadier Throwgrenade",,,"Grenadier Hit",,"Grenadier Disembark","Grenadier Troop Die","Granadier","Granadier_BG",,"Heavy step","sfx/bazooka_unit_move_01.wav",,,,,,
,,,16,,477,,9000,94,4600000,,,,,,,108,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,,506,,10000,99,5200000,,,,,,,116,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,,536,,11000,100,5500000,,,,,,,124,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,,568,,12000,102,5900000,,,,,,,134,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,,602,,13000,105,6500000,,,,,,,144,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,,638,,14000,108,7000000,,,,,,,154,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,,680,,15000,109,7400000,,,,,,,166,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,,720,,16000,111,7800000,,,,,,,178,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,,760,,17000,112,8100000,,,,,,,192,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21,,806,,18000,114,8700000,,,,,,,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,22,,854,,19000,,,,,,,,,222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flamer",21,18,18,230,25000,3000,25000,102,5400000,700,330,500,,,,350,,,,1050,,,,,,,12,,"TRUE","FALSE",102,"TID_FLAMER","TID_FLAMER_INFO","TID_FLAMER_SUBTITLE","TID_FLAMER_FLAVOR","sc/units.sc","TID_MODERATE","TID_MEDIUM","sc/ui.sc","icon_unit_flamer","sc/tutorial.sc","unit_flamer_big","Flamer Ammo","Troop Deploy Assault Troop","FlamerTank Attack","Flamer Attack Solid2",,,,,"Flame Tank Explosion","Flame_Tank","Flame_Tank_BG",,"Scorcher step","sfx/tank_drive_loop_01.wav",,,,,,
,,,18,,26800,,30000,106,5900000,,,,,,,385,,,,1155,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,,28600,,35000,108,6500000,,,,,,,424,,,,1272,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,,30600,,40000,110,7100000,,,,,,,466,,,,1398,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,,32800,,45000,112,7200000,,,,,,,512,,,,1536,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,,35000,,50000,113,7600000,,,,,,,564,,,,1692,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,,37500,,55000,115,8000000,,,,,,,620,,,,1860,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,,40000,,60000,117,8300000,,,,,,,682,,,,2046,,,,,,,,,,,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21,,43000,,65000,,,,,,,,,750,,,,2250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drone",1,1,1,400,400,60,20,2,9500,,90,500,,,,135,,0,,,,,,,,,0,"TRUE",,"TRUE",14,"TID_RIFLEMAN","TID_RIFLEMAN_INFO","TID_RIFLEMAN_SUBTITLE","TID_RIFLEMAN_FLAVOR","sc/units.sc","TID_MODERATE","TID_MELEE","sc/ui.sc","icon_unit_barbarian","sc/tutorial.sc","unit_assault_troop",,"Troop Deploy Assault Troop","Decoy Attack",,,"Assault Troop Hit",,,"Drone Die","Decoy_Drone","Decoy_Drone_BG",,"Drone step","sfx/drone_loop_01.wav",,,,,,
"Walker",1,1,1,100,10000,60,20,2,9500,,1000,5000,,,,500,,100,,,200,,,,,,0,"TRUE",,"TRUE",14,"TID_RIFLEMAN","TID_RIFLEMAN_INFO","TID_RIFLEMAN_SUBTITLE","TID_RIFLEMAN_FLAVOR","sc/units.sc","TID_MODERATE","TID_MELEE","sc/ui.sc","icon_unit_barbarian","sc/tutorial.sc","unit_assault_troop","Grenadier Ammo","Troop Deploy Assault Troop","Grenadier Throwgrenade",,,"Grenadier Hit",,,"Grenadier Troop Die","Walker","Walker",,"Heavy step","sfx/bazooka_unit_move_01.wav",1000,2000,2000,5000,,
